Borough,Location,Spaces,Times of Operation,Rank No.,Notes
Barking and Dagenham,Rainham Road South (Dagenham East Station),1,24 hours,5657,
"Barking and
Dagenham","Station Parade/Wakering Road
(Barking Station)",17,24 hours,5722,
Barnet,Allum Way (Totteridge and Whetstone Station),2,Friday and Saturday 22:00 – 06:00,5833,
Barnet,Barnet General Hospital,3,24 hours,6030,Private land
Barnet,"Brent Cross Station Car Park (Brent
Cross Station)",2,"Friday and Saturday
22:00 – 06:00",5851,
Barnet,Chaville Way (Finchley Central Station),2,Friday and Saturday 22:00 – 06:00,5834,
Barnet,"Station Forecourt (East Finchley
Station)",2,17:00 - 06:00,5819,
Barnet,North End Road (Golders Green Station),7,24 hours,5436,
Barnet,"Queen’s Road, Hendon",3,24 hours,5071,TLRN
Barnet,Station Access Road (High Barnet Station),2,Friday and Saturday 22:00 – 06:00,5832,
Barnet,Station Road (Edgware Station),11,24 hours,5645,
Barnet,Watford Way (Hendon Central Station),2,19:00 – 07:00,5837,
Bexley,"Broadway, Bexleyheath",2,24 hours,6009,
Brent,"Arena Square (Wembley Arena), Wembley",6,Not in operation during events when Boulevard Way is closed,5771,
Brent,Bridge Road/Brook Avenue/ Olympic Square (Wembley Park Station),17,24 hours,5583,
Brent,Brondesbury Road,2,24 hours,5889,
Brent,Chapter Road (Dollis Hill Station),2,24 hours,5829,
Brent,Christchurch Avenue (Kilburn Station),2,24 hours,5828,
Brent,"Hilton London, Wembley",3,24 hours,5796,
Brent,Kingsbury Road (Kingsbury Station),2,24 hours,5196,
Brent,Neasden Lane (Neasden Station),2,24 hours,5830,
Brent,"Queensbury Station Parade
(Queensbury Station)",2,24 hours,5831,
Brent,Station Crescent (Sudbury Town Station),2,24 hours,4431,
Brent,"Station Parade (Willesden Green
Station)",2,24 hours,5503,
Bromley,"High Street, Beckenham",2,18:00 - 06:00,5513,
Bromley,"High Street, Bromley (TK Maxx)",5,10:00 - 03:00,5529,
Bromley,"High Street, Bromley",2,22:00 - 03:00,5542,
Bromley,"High Street/Elmfield Park (Bromley South Station), Bromley",32,"    1st, 2nd and 3rd portion operates 24 hours
    4th portion operates Monday – Saturday,
00.00 – 08.30 and 18.30 – 00:00
Sunday, 00:00 – 10:00 and
17:00 – 00:00",5891,4th portion is in a shared use parking bay
Bromley,"High Street, Orpington, Kent",2,24 hours,5678,
Bromley,"Homefield Rise (Sainsbury’s), Orpington, Kent",2,24 hours,4993,
Bromley,"Market Square, Bromley",7,"    1st portion operates 24 hours
    2nd portion operates 22:00
– 03:00",5812,2nd portion is in a shared use loading bay
Bromley,Orpington Station/Crofton Road,14,"    1st and 2nd portions operates 24 hours
    3rd portion operates 18:00 – 06:00",5877,3rd portion is in a shared use loading bay
Bromley,"Petts Wood Square (Petts Wood Station), Orpington, Kent",2,16:00 – 02:00,5475,
Bromley,"Station Approach (Hayes Station),
Kent",2,17:00 – 01:00,5531,
Bromley,"Walters Yard (Sainsbury’s), Bromley",6,24 hours,5105,
Bromley,Widmore Road (Bibas),5,00:00 – 03:00,5061,
Camden,Bayley Street (My Hotel Bloomsbury),2,24 hours,4139,
Camden,Bedford Avenue (St. Giles Hotel),2,24 hours,5043,
Camden,Bedford Row,3,24 hours,4204,Rest rank
Camden,Bedford Way (Royal National Hotel),2,24 hours,4616,
Camden,Beaumont Place (UCLH),2,24 hours,5997,
Camden,Camden High Street,4,19:00 – 07:00,4835,"Shared use loading
bay"
Camden,Camden High Street/Greenland Street,5,24 hours,4312,TLRN
Camden,Canfield Gardens (Finchley Road Station),1,24 hours,5535,TLRN
Camden,Canfield Gardens (Waitrose/Finchley Road Station),6,24 hours,5534,TLRN
Camden,Cardington Street (Ibis Hotel),2,24 hours,4914,
Camden,"Cardington Street (Thistle Euston
Hotel)",2,24 hours,4427,
Camden,Carey Street (Chancery Lane),4,24 hours,3528,
Camden,Coram Street (Holiday Inn),4,24 hours,5545,
Camden,Drury Lane (New London Theatre),3,20:30 – 06:30,5171,
Camden,Grays Inn Road (ITN),2,24 hours,5455,
Camden,"Great Queen Street (Kingsway Hall
Hotel)",3,24 hours,5365,
Camden,Great Russell Street (British Museum),2,24 hours,5233,
Camden,Great Russell Street,3,24 hours,5655,
Camden,Guilford Street (President Hotel),3,24 hours,4878,
Camden,"Hampstead Road (Greater London
House)",4,19:00 – 16:00,5489,TLRN
Camden,Harrington Square (Mornington Crescent Station),1,19.00 – 07.00,5879,Shared use loading bay
Camden,Hawley Crescent,3,Saturdays and Sundays only,5300,
Camden,High Holborn (Shaftesbury Theatre),4,22:00 – 23:00,5516,
Camden,Holborn (Waterhouse Court),2,"Not operational between
07:00 – 10:00",5620,
Camden,"Kilburn High Road (London Marriott
Hotel), Maida Vale",3,24 hours,5262,
