,Borough,Location,Spaces,Times of Operation,Rank No.,Notes,Longitude,Latitude
0,Barking and Dagenham,Rainham Road South (Dagenham East Station),1,24 hours,5657,,0.1658388,51.5441807
1,Barking and Dagenham,Station Parade/Wakering Road (Barking Station),17,24 hours,5722,,0.0818324,51.539692
2,Barnet,Allum Way (Totteridge and Whetstone Station),2,Friday and Saturday 22:00 – 06:00,5833,,-0.1791503,51.6302347
3,Barnet,Barnet General Hospital,3,24 hours,6030,Private land,-0.2144865,51.6506333
4,Barnet,Brent Cross Station Car Park (Brent Cross Station),2,Friday and Saturday 22:00 – 06:00,5851,,-0.2130753,51.5766881
5,Barnet,Chaville Way (Finchley Central Station),2,Friday and Saturday 22:00 – 06:00,5834,,-0.193361,51.601633
6,Barnet,Station Forecourt (East Finchley Station),2,17:00 - 06:00,5819,,-0.2749306,51.6137296
7,Barnet,North End Road (Golders Green Station),7,24 hours,5436,,-0.1944159,51.5722247
8,Barnet,"Queen’s Road, Hendon",3,24 hours,5071,TLRN,-0.222922,51.5833102
9,Barnet,Station Access Road (High Barnet Station),2,Friday and Saturday 22:00 – 06:00,5832,,-0.1939139,51.6503081
10,Barnet,Station Road (Edgware Station),11,24 hours,5645,,-0.2753675,51.6134935
11,Barnet,Watford Way (Hendon Central Station),2,19:00 – 07:00,5837,,-0.2267356,51.5830921
12,Bexley,"Broadway, Bexleyheath",2,24 hours,6009,,0.1424217,51.4569453
13,Brent,"Arena Square (Wembley Arena), Wembley",6,Not in operation during events when Boulevard Way is closed,5771,,-0.282586,51.558096
14,Brent,Bridge Road/Brook Avenue/ Olympic Square (Wembley Park Station),17,24 hours,5583,,-0.2826604,51.5639301
15,Brent,Brondesbury Road,2,24 hours,5889,,-0.1992286,51.5365386
16,Brent,Chapter Road (Dollis Hill Station),2,24 hours,5829,,-0.2388817,51.552021
17,Brent,Christchurch Avenue (Kilburn Station),2,24 hours,5828,,-0.2042087,51.5469276
18,Brent,"Hilton London, Wembley",3,24 hours,5796,,-0.2821339,51.5576086
19,Brent,Kingsbury Road (Kingsbury Station),2,24 hours,5196,,-0.2787047,51.5848468
20,Brent,Neasden Lane (Neasden Station),2,24 hours,5830,,-0.2494249,51.5550799
21,Brent,Queensbury Station Parade (Queensbury Station),2,24 hours,5831,,-0.2844311,51.5942342
22,Brent,Station Crescent (Sudbury Town Station),2,24 hours,4431,,-0.316207,51.5503085
23,Brent,Station Parade (Willesden Green Station),2,24 hours,5503,,-0.2221615,51.5495958
24,Bromley,"High Street, Beckenham",2,18:00 - 06:00,5513,,-0.0275053,51.4075276
25,Bromley,"High Street, Bromley (TK Maxx)",5,10:00 - 03:00,5529,,0.0153588,51.4019515
26,Bromley,"High Street, Bromley",2,22:00 - 03:00,5542,,0.0151918,51.4033872
27,Bromley,"High Street/Elmfield Park (Bromley South Station), Bromley",32,"    1st, 2nd and 3rd portion operates 24 hours     4th portion operates Monday – Saturday, 00.00 – 08.30 and 18.30 – 00:00 Sunday, 00:00 – 10:00 and 17:00 – 00:00",5891,4th portion is in a shared use parking bay,0.01752,51.4019
28,Bromley,"High Street, Orpington, Kent",2,24 hours,5678,,0.1013163,51.3782725
29,Bromley,"Homefield Rise (Sainsbury’s), Orpington, Kent",2,24 hours,4993,,0.1006197,51.3757922
30,Bromley,"Market Square, Bromley",7,    1st portion operates 24 hours     2nd portion operates 22:00 – 03:00,5812,2nd portion is in a shared use loading bay,0.0149509,51.4056996
